id_datve,id_nhanvien,id_user,id_suat,id_km,thoi_gian_dat,tong_tien,phuong_thuc_thanh_toan,ma_giao_dich,ten_nguoi_dat,so_dien_thoai,giam_gia,trang_thai,created_at
36,NULL,5,908,NULL,2026/06/25 15:30:00,140000,MoMo,MO0036,hoangquan123,919887766,0,Da thanh toan,2026/06/25 15:30:00
37,NULL,6,1544,NULL,2026/07/16 9:50:00,440000,VNPay,VN0037,vuthilan,977112233,0,Da thanh toan,2026/07/16 9:50:00
38,NULL,1,800,NULL,2026/06/26 0:28:00,330000,MoMo,MO0038,nguyenvana,912345678,0,Da thanh toan,2026/06/26 0:28:00
39,NULL,19,446,NULL,2026/06/09 13:12:00,100000,MoMo,MO0039,thuy_linh_97,961223344,0,Da thanh toan,2026/06/09 13:12:00
40,NULL,38,977,NULL,2026/06/23 0:30:00,200000,MoMo,MO0040,quang_minh_it,915667788,0,Da thanh toan,2026/06/23 0:30:00
41,NULL,5,1219,NULL,2026/07/03 15:05:00,560000,MoMo,MO0041,hoangquan123,919887766,0,Da thanh toan,2026/07/03 15:05:00
42,NULL,40,168,NULL,2026/05/25 9:24:00,330000,VNPay,VN0042,hong_dang,939223344,0,Da thanh toan,2026/05/25 9:24:00
43,NULL,26,269,NULL,2026/06/06 16:11:00,560000,Banking,BA0043,hoang_nam_hp,985443322,0,Da thanh toan,2026/06/06 16:11:00
44,NULL,7,151,NULL,2026/05/28 21:10:00,330000,VNPay,VN0044,dangkhoadev,933445566,0,Da thanh toan,2026/05/28 21:10:00
45,NULL,19,324,NULL,2026/06/05 14:24:00,360000,Banking,BA0045,thuy_linh_97,961223344,0,Da thanh toan,2026/06/05 14:24:00
46,NULL,7,276,NULL,2026/06/02 7:48:00,280000,MoMo,MO0046,dangkhoadev,933445566,0,Da thanh toan,2026/06/02 7:48:00
47,NULL,46,703,NULL,2026/06/20 22:43:00,300000,MoMo,MO0047,thao_nguyen_92,905445566,0,Da thanh toan,2026/06/20 22:43:00
48,NULL,41,868,NULL,2026/07/01 2:11:00,110000,Banking,BA0048,nguyen_khoi,972445566,0,Da thanh toan,2026/07/01 2:11:00
49,NULL,17,331,NULL,2026/06/04 6:56:00,440000,Banking,BA0049,yen_nhi89,902334411,0,Da thanh toan,2026/06/04 6:56:00
50,NULL,3,757,NULL,2026/06/17 9:09:00,400000,VNPay,VN0050,leminh_hieu,905123456,0,Da thanh toan,2026/06/17 9:09:00
51,NULL,14,1397,NULL,2026/07/15 1:00:00,330000,MoMo,MO0051,minh_triet,971234888,0,Da thanh toan,2026/07/15 1:00:00
52,NULL,12,845,NULL,2026/06/24 16:51:00,330000,Banking,BA0052,son_tung_mtp,909090909,0,Da thanh toan,2026/06/24 16:51:00
53,NULL,7,784,NULL,2026/06/22 23:08:00,240000,VNPay,VN0053,dangkhoadev,933445566,0,Da thanh toan,2026/06/22 23:08:00
54,NULL,15,457,NULL,2026/06/11 21:45:00,560000,VNPay,VN0054,hoa_nang_95,922334455,0,Da thanh toan,2026/06/11 21:45:00
55,NULL,44,1099,NULL,2026/06/26 22:33:00,300000,MoMo,MO0055,quynh_anh_hn,964112233,0,Da thanh toan,2026/06/26 22:33:00
56,NULL,39,890,NULL,2026/06/21 2:16:00,440000,VNPay,VN0056,kim_chi_97,904112233,0,Da thanh toan,2026/06/21 2:16:00
57,NULL,3,1452,NULL,2026/07/15 0:35:00,200000,Banking,BA0057,leminh_hieu,905123456,0,Da thanh toan,2026/07/15 0:35:00
58,NULL,22,1277,NULL,2026/07/07 22:44:00,360000,VNPay,VN0058,viet_anh_it,974556677,0,Da thanh toan,2026/07/07 22:44:00
59,NULL,45,606,NULL,2026/06/16 22:44:00,520000,Banking,BA0059,huu_phuoc,982778899,0,Da thanh toan,2026/06/16 22:44:00
60,NULL,1,623,NULL,2026/06/14 10:06:00,420000,VNPay,VN0060,nguyenvana,912345678,0,Da thanh toan,2026/06/14 10:06:00
61,NULL,48,348,NULL,2026/06/01 16:36:00,330000,MoMo,MO0061,thuy_tien_98,967223344,0,Da thanh toan,2026/06/01 16:36:00
62,NULL,10,51,NULL,2026/05/22 5:41:00,130000,Banking,BA0062,tuananh_pro,944556677,0,Da thanh toan,2026/05/22 5:41:00
63,NULL,37,399,NULL,2026/06/06 2:23:00,400000,VNPay,VN0063,thanh_truc,962334455,0,Da thanh toan,2026/06/06 2:23:00
64,NULL,15,361,NULL,2026/06/13 14:07:00,520000,MoMo,MO0064,hoa_nang_95,922334455,0,Da thanh toan,2026/06/13 14:07:00
65,NULL,30,1368,NULL,2026/07/17 13:48:00,420000,VNPay,VN0065,xuan_bach,931223344,0,Da thanh toan,2026/07/17 13:48:00
66,NULL,11,1524,NULL,2026/07/11 9:40:00,260000,Banking,BA0066,maiphuong_hn,915223344,0,Da thanh toan,2026/07/11 9:40:00
67,NULL,16,563,NULL,2026/06/15 20:29:00,360000,Banking,BA0067,ducthanh_ict,981556677,0,Da thanh toan,2026/06/15 20:29:00
68,NULL,6,284,NULL,2026/05/29 19:11:00,260000,VNPay,VN0068,vuthilan,977112233,0,Da thanh toan,2026/05/29 19:11:00
69,NULL,22,1112,NULL,2026/06/30 17:12:00,280000,Banking,BA0069,viet_anh_it,974556677,0,Da thanh toan,2026/06/30 17:12:00
70,NULL,2,1568,NULL,2026/07/17 18:26:00,120000,VNPay,VN0070,tranthingoc88,987654321,0,Da thanh toan,2026/07/17 18:26:00
71,NULL,27,1103,NULL,2026/07/05 10:53:00,240000,VNPay,VN0071,thuy_duong_93,942556677,0,Da thanh toan,2026/07/05 10:53:00
72,NULL,32,60,NULL,2026/05/21 3:41:00,400000,VNPay,VN0072,hung_thinh,912112233,0,Da thanh toan,2026/05/21 3:41:00
73,NULL,38,1156,NULL,2026/07/01 0:14:00,480000,VNPay,VN0073,quang_minh_it,915667788,0,Da thanh toan,2026/07/01 0:14:00
74,NULL,21,434,NULL,2026/06/15 3:01:00,520000,MoMo,MO0074,khanh_huyen2k,355112288,0,Da thanh toan,2026/06/15 3:01:00
75,NULL,48,1105,NULL,2026/06/25 2:33:00,100000,MoMo,MO0075,thuy_tien_98,967223344,0,Da thanh toan,2026/06/25 2:33:00
76,NULL,13,42,NULL,2026/05/24 22:38:00,280000,MoMo,MO0076,thanh_huyen,399112233,0,Da thanh toan,2026/05/24 22:38:00
77,NULL,30,1433,NULL,2026/07/08 5:37:00,240000,MoMo,MO0077,xuan_bach,931223344,0,Da thanh toan,2026/07/08 5:37:00
78,NULL,38,53,NULL,2026/05/22 19:07:00,400000,Banking,BA0078,quang_minh_it,915667788,0,Da thanh toan,2026/05/22 19:07:00
79,NULL,50,618,NULL,2026/06/11 4:03:00,140000,VNPay,VN0079,hoai_anh_vtv,989334455,0,Da thanh toan,2026/06/11 4:03:00
80,NULL,43,759,NULL,2026/06/23 3:20:00,300000,VNPay,VN0080,nhat_huy,918556677,0,Da thanh toan,2026/06/23 3:20:00
81,NULL,24,1302,NULL,2026/07/07 10:50:00,280000,Banking,BA0081,gia_huy_lee,903112233,0,Da thanh toan,2026/07/07 10:50:00
82,NULL,18,1262,NULL,2026/07/15 14:28:00,440000,MoMo,MO0082,quang_huy_ds,938112244,0,Da thanh toan,2026/07/15 14:28:00
83,NULL,18,924,NULL,2026/07/01 9:25:00,440000,VNPay,VN0083,quang_huy_ds,938112244,0,Da thanh toan,2026/07/01 9:25:00
84,NULL,14,727,NULL,2026/06/21 20:55:00,420000,MoMo,MO0084,minh_triet,971234888,0,Da thanh toan,2026/06/21 20:55:00
85,NULL,6,495,NULL,2026/06/17 22:41:00,260000,MoMo,MO0085,vuthilan,977112233,0,Da thanh toan,2026/06/17 22:41:00
86,NULL,6,603,NULL,2026/06/13 2:25:00,240000,VNPay,VN0086,vuthilan,977112233,0,Da thanh toan,2026/06/13 2:25:00
87,NULL,36,1088,NULL,2026/06/25 5:37:00,360000,VNPay,VN0087,tan_phat,947001122,0,Da thanh toan,2026/06/25 5:37:00
88,NULL,15,248,NULL,2026/06/05 11:26:00,110000,MoMo,MO0088,hoa_nang_95,922334455,0,Da thanh toan,2026/06/05 11:26:00
89,NULL,14,1513,NULL,2026/07/16 16:57:00,330000,VNPay,VN0089,minh_triet,971234888,0,Da thanh toan,2026/07/16 16:57:00
90,NULL,12,620,NULL,2026/06/13 9:08:00,200000,Banking,BA0090,son_tung_mtp,909090909,0,Da thanh toan,2026/06/13 9:08:00
91,NULL,19,1429,NULL,2026/07/09 12:51:00,140000,VNPay,VN0091,thuy_linh_97,961223344,0,Da thanh toan,2026/07/09 12:51:00
92,NULL,31,981,NULL,2026/07/05 1:27:00,130000,MoMo,MO0092,thuy_vi_99,963445566,0,Da thanh toan,2026/07/05 1:27:00
93,NULL,5,821,NULL,2026/06/27 0:03:00,110000,Banking,BA0093,hoangquan123,919887766,0,Da thanh toan,2026/06/27 0:03:00
94,NULL,20,175,NULL,2026/05/26 7:21:00,520000,VNPay,VN0094,bao_long,918445566,0,Da thanh toan,2026/05/26 7:21:00
95,NULL,38,879,NULL,2026/06/30 0:01:00,110000,Banking,BA0095,quang_minh_it,915667788,0,Da thanh toan,2026/06/30 0:01:00
96,NULL,14,542,NULL,2026/06/17 16:27:00,200000,MoMo,MO0096,minh_triet,971234888,0,Da thanh toan,2026/06/17 16:27:00
97,NULL,1,837,NULL,2026/06/26 14:30:00,480000,Banking,BA0097,nguyenvana,912345678,0,Da thanh toan,2026/06/26 14:30:00
98,NULL,30,146,NULL,2026/05/30 3:06:00,280000,MoMo,MO0098,xuan_bach,931223344,0,Da thanh toan,2026/05/30 3:06:00
99,NULL,42,306,NULL,2026/06/10 11:36:00,110000,VNPay,VN0099,cam_tu_96,333221144,0,Da thanh toan,2026/06/10 11:36:00
100,NULL,39,1534,NULL,2026/07/12 11:14:00,480000,Banking,BA0100,kim_chi_97,904112233,0,Da thanh toan,2026/07/12 11:14:00
101,NULL,35,1012,NULL,2026/07/04 2:10:00,120000,Banking,BA0101,minh_hang_91,388990011,0,Da thanh toan,2026/07/04 2:10:00
102,NULL,17,53,NULL,2026/05/28 3:08:00,140000,MoMo,MO0102,yen_nhi89,902334411,0,Da thanh toan,2026/05/28 3:08:00
103,NULL,49,1549,NULL,2026/07/19 7:08:00,520000,MoMo,MO0103,duy_manh_93,914667788,0,Da thanh toan,2026/07/19 7:08:00
104,NULL,31,713,NULL,2026/06/17 19:37:00,120000,VNPay,VN0104,thuy_vi_99,963445566,0,Da thanh toan,2026/06/17 19:37:00
105,NULL,45,1015,NULL,2026/07/01 1:55:00,100000,VNPay,VN0105,huu_phuoc,982778899,0,Da thanh toan,2026/07/01 1:55:00
106,NULL,17,663,NULL,2026/06/10 15:39:00,130000,VNPay,VN0106,yen_nhi89,902334411,0,Da thanh toan,2026/06/10 15:39:00
107,NULL,4,385,NULL,2026/06/15 3:11:00,560000,MoMo,MO0107,phamthuyduong,345678901,0,Da thanh toan,2026/06/15 3:11:00
108,NULL,19,898,NULL,2026/06/18 12:18:00,110000,VNPay,VN0108,thuy_linh_97,961223344,0,Da thanh toan,2026/06/18 12:18:00
109,NULL,36,29,NULL,2026/05/22 21:28:00,200000,Banking,BA0109,tan_phat,947001122,0,Da thanh toan,2026/05/22 21:28:00
110,NULL,10,1021,NULL,2026/07/03 1:33:00,330000,VNPay,VN0110,tuananh_pro,944556677,0,Da thanh toan,2026/07/03 1:33:00
111,NULL,36,297,NULL,2026/06/11 23:41:00,260000,VNPay,VN0111,tan_phat,947001122,0,Da thanh toan,2026/06/11 23:41:00
112,NULL,33,548,NULL,2026/06/19 4:23:00,390000,Banking,BA0112,diep_chi,975667788,0,Da thanh toan,2026/06/19 4:23:00
113,NULL,31,707,NULL,2026/06/16 5:21:00,560000,VNPay,VN0113,thuy_vi_99,963445566,0,Da thanh toan,2026/06/16 5:21:00
114,NULL,15,1589,NULL,2026/07/12 23:26:00,400000,MoMo,MO0114,hoa_nang_95,922334455,0,Da thanh toan,2026/07/12 23:26:00
115,NULL,33,1209,NULL,2026/07/02 22:14:00,440000,VNPay,VN0115,diep_chi,975667788,0,Da thanh toan,2026/07/02 22:14:00
116,NULL,42,317,NULL,2026/06/12 10:51:00,420000,VNPay,VN0116,cam_tu_96,333221144,0,Da thanh toan,2026/06/12 10:51:00
117,NULL,21,1284,NULL,2026/07/06 0:49:00,110000,Banking,BA0117,khanh_huyen2k,355112288,0,Da thanh toan,2026/07/06 0:49:00
118,NULL,44,589,NULL,2026/06/17 10:55:00,480000,MoMo,MO0118,quynh_anh_hn,964112233,0,Da thanh toan,2026/06/17 10:55:00
119,NULL,3,665,NULL,2026/06/24 6:37:00,330000,Banking,BA0119,leminh_hieu,905123456,0,Da thanh toan,2026/06/24 6:37:00
120,NULL,27,1160,NULL,2026/07/02 20:19:00,280000,VNPay,VN0120,thuy_duong_93,942556677,0,Da thanh toan,2026/07/02 20:19:00
121,NULL,40,1400,NULL,2026/07/14 4:31:00,240000,VNPay,VN0121,hong_dang,939223344,0,Da thanh toan,2026/07/14 4:31:00
122,NULL,17,1366,NULL,2026/07/06 4:29:00,390000,VNPay,VN0122,yen_nhi89,902334411,0,Da thanh toan,2026/07/06 4:29:00
123,NULL,38,613,NULL,2026/06/09 17:59:00,390000,VNPay,VN0123,quang_minh_it,915667788,0,Da thanh toan,2026/06/09 17:59:00
124,NULL,7,486,NULL,2026/06/18 18:04:00,360000,MoMo,MO0124,dangkhoadev,933445566,0,Da thanh toan,2026/06/18 18:04:00
125,NULL,37,1405,NULL,2026/07/07 12:12:00,440000,Banking,BA0125,thanh_truc,962334455,0,Da thanh toan,2026/07/07 12:12:00
126,NULL,17,1389,NULL,2026/07/15 7:04:00,240000,VNPay,VN0126,yen_nhi89,902334411,0,Da thanh toan,2026/07/15 7:04:00
127,NULL,3,1187,NULL,2026/07/07 16:58:00,120000,Banking,BA0127,leminh_hieu,905123456,0,Da thanh toan,2026/07/07 16:58:00
128,NULL,27,360,NULL,2026/06/06 8:57:00,330000,VNPay,VN0128,thuy_duong_93,942556677,0,Da thanh toan,2026/06/06 8:57:00
129,NULL,31,605,NULL,2026/06/19 9:19:00,100000,MoMo,MO0129,thuy_vi_99,963445566,0,Da thanh toan,2026/06/19 9:19:00
130,NULL,49,463,NULL,2026/06/09 3:19:00,400000,VNPay,VN0130,duy_manh_93,914667788,0,Da thanh toan,2026/06/09 3:19:00
131,NULL,35,254,NULL,2026/06/01 13:18:00,300000,Banking,BA0131,minh_hang_91,388990011,0,Da thanh toan,2026/06/01 13:18:00
132,NULL,15,966,NULL,2026/06/27 20:07:00,360000,Banking,BA0132,hoa_nang_95,922334455,0,Da thanh toan,2026/06/27 20:07:00
133,NULL,27,239,NULL,2026/05/28 14:14:00,330000,Banking,BA0133,thuy_duong_93,942556677,0,Da thanh toan,2026/05/28 14:14:00
134,NULL,9,796,NULL,2026/06/29 16:25:00,560000,VNPay,VN0134,cuong_vba,988001122,0,Da thanh toan,2026/06/29 16:25:00
135,NULL,18,68,NULL,2026/05/24 6:03:00,480000,Banking,BA0135,quang_huy_ds,938112244,0,Da thanh toan,2026/05/24 6:03:00
136,NULL,42,735,NULL,2026/06/23 1:44:00,200000,Banking,BA0136,cam_tu_96,333221144,0,Da thanh toan,2026/06/23 1:44:00
137,NULL,14,1315,NULL,2026/07/13 15:19:00,110000,MoMo,MO0137,minh_triet,971234888,0,Da thanh toan,2026/07/13 15:19:00
138,NULL,37,421,NULL,2026/06/07 16:26:00,240000,MoMo,MO0138,thanh_truc,962334455,0,Da thanh toan,2026/06/07 16:26:00
139,NULL,39,6,NULL,2026/05/25 16:07:00,220000,MoMo,MO0139,kim_chi_97,904112233,0,Da thanh toan,2026/05/25 16:07:00
140,NULL,43,53,NULL,2026/05/27 4:20:00,220000,VNPay,VN0140,nhat_huy,918556677,0,Da thanh toan,2026/05/27 4:20:00
141,NULL,4,260,NULL,2026/05/29 11:08:00,130000,VNPay,VN0141,phamthuyduong,345678901,0,Da thanh toan,2026/05/29 11:08:00
142,NULL,50,742,NULL,2026/06/26 13:53:00,480000,VNPay,VN0142,hoai_anh_vtv,989334455,0,Da thanh toan,2026/06/26 13:53:00
143,NULL,42,64,NULL,2026/06/02 20:04:00,400000,VNPay,VN0143,cam_tu_96,333221144,0,Da thanh toan,2026/06/02 20:04:00
144,NULL,39,304,NULL,2026/06/10 4:53:00,390000,Banking,BA0144,kim_chi_97,904112233,0,Da thanh toan,2026/06/10 4:53:00
145,NULL,39,882,NULL,2026/06/22 23:29:00,110000,VNPay,VN0145,kim_chi_97,904112233,0,Da thanh toan,2026/06/22 23:29:00
146,NULL,29,468,NULL,2026/06/14 11:04:00,480000,Banking,BA0146,ngoc_anh_vov,322334455,0,Da thanh toan,2026/06/14 11:04:00
147,NULL,17,767,NULL,2026/06/16 17:02:00,100000,MoMo,MO0147,yen_nhi89,902334411,0,Da thanh toan,2026/06/16 17:02:00
148,NULL,28,198,NULL,2026/05/25 20:37:00,280000,Banking,BA0148,minh_quan_98,917332211,0,Da thanh toan,2026/05/25 20:37:00
149,NULL,36,676,NULL,2026/06/14 12:19:00,420000,VNPay,VN0149,tan_phat,947001122,0,Da thanh toan,2026/06/14 12:19:00
150,NULL,23,213,NULL,2026/06/07 12:33:00,200000,VNPay,VN0150,minh_thu_hn,912445566,0,Da thanh toan,2026/06/07 12:33:00
151,NULL,36,753,NULL,2026/06/25 0:20:00,280000,Banking,BA0151,tan_phat,947001122,0,Da thanh toan,2026/06/25 0:20:00
152,NULL,44,1317,NULL,2026/07/11 18:56:00,360000,VNPay,VN0152,quynh_anh_hn,964112233,0,Da thanh toan,2026/07/11 18:56:00
153,NULL,23,13,NULL,2026/05/26 6:53:00,560000,MoMo,MO0153,minh_thu_hn,912445566,0,Da thanh toan,2026/05/26 6:53:00
154,NULL,25,860,NULL,2026/06/21 9:02:00,420000,MoMo,MO0154,kim_ngan_94,969223344,0,Da thanh toan,2026/06/21 9:02:00
155,NULL,4,319,NULL,2026/06/03 22:16:00,120000,VNPay,VN0155,phamthuyduong,345678901,0,Da thanh toan,2026/06/03 22:16:00
156,NULL,43,869,NULL,2026/06/23 12:24:00,480000,VNPay,VN0156,nhat_huy,918556677,0,Da thanh toan,2026/06/23 12:24:00
157,NULL,8,581,NULL,2026/06/12 6:19:00,520000,Banking,BA0157,bichngoc_96,966778899,0,Da thanh toan,2026/06/12 6:19:00
158,NULL,4,16,NULL,2026/05/29 0:27:00,240000,MoMo,MO0158,phamthuyduong,345678901,0,Da thanh toan,2026/05/29 0:27:00
159,NULL,1,1019,NULL,2026/07/05 16:39:00,220000,Banking,BA0159,nguyenvana,912345678,0,Da thanh toan,2026/07/05 16:39:00
